AssessmentSK,code_module,code_presentation,id_assessment,assessment_type,date,weight,assessment_full_id
1,AAA,2013J,1752,TMA,19.0,10.0,AAA_2013J_1752
2,AAA,2013J,1753,TMA,54.0,20.0,AAA_2013J_1753
3,AAA,2013J,1754,TMA,117.0,20.0,AAA_2013J_1754
4,AAA,2013J,1755,TMA,166.0,20.0,AAA_2013J_1755
5,AAA,2013J,1756,TMA,215.0,30.0,AAA_2013J_1756
6,AAA,2013J,1757,Exam,,100.0,AAA_2013J_1757
7,AAA,2014J,1758,TMA,19.0,10.0,AAA_2014J_1758
8,AAA,2014J,1759,TMA,54.0,20.0,AAA_2014J_1759
9,AAA,2014J,1760,TMA,117.0,20.0,AAA_2014J_1760
10,AAA,2014J,1761,TMA,166.0,20.0,AAA_2014J_1761
11,AAA,2014J,1762,TMA,215.0,30.0,AAA_2014J_1762
12,AAA,2014J,1763,Exam,,100.0,AAA_2014J_1763
13,BBB,2013B,14991,CMA,54.0,1.0,BBB_2013B_14991
14,BBB,2013B,14992,CMA,89.0,1.0,BBB_2013B_14992
15,BBB,2013B,14993,CMA,124.0,1.0,BBB_2013B_14993
16,BBB,2013B,14994,CMA,159.0,1.0,BBB_2013B_14994
17,BBB,2013B,14995,CMA,187.0,1.0,BBB_2013B_14995
18,BBB,2013B,14984,TMA,19.0,5.0,BBB_2013B_14984
19,BBB,2013B,14985,TMA,47.0,18.0,BBB_2013B_14985
20,BBB,2013B,14986,TMA,89.0,18.0,BBB_2013B_14986
21,BBB,2013B,14987,TMA,124.0,18.0,BBB_2013B_14987
22,BBB,2013B,14988,TMA,159.0,18.0,BBB_2013B_14988
23,BBB,2013B,14989,TMA,187.0,18.0,BBB_2013B_14989
24,BBB,2013B,14990,Exam,,100.0,BBB_2013B_14990
25,BBB,2013J,15003,CMA,54.0,1.0,BBB_2013J_15003
26,BBB,2013J,15004,CMA,96.0,1.0,BBB_2013J_15004
27,BBB,2013J,15005,CMA,131.0,1.0,BBB_2013J_15005
28,BBB,2013J,15006,CMA,166.0,1.0,BBB_2013J_15006
29,BBB,2013J,15007,CMA,208.0,1.0,BBB_2013J_15007
30,BBB,2013J,14996,TMA,19.0,5.0,BBB_2013J_14996
31,BBB,2013J,14997,TMA,47.0,18.0,BBB_2013J_14997
32,BBB,2013J,14998,TMA,96.0,18.0,BBB_2013J_14998
33,BBB,2013J,14999,TMA,131.0,18.0,BBB_2013J_14999
34,BBB,2013J,15000,TMA,166.0,18.0,BBB_2013J_15000
35,BBB,2013J,15001,TMA,208.0,18.0,BBB_2013J_15001
36,BBB,2013J,15002,Exam,,100.0,BBB_2013J_15002
37,BBB,2014B,15015,CMA,47.0,1.0,BBB_2014B_15015
38,BBB,2014B,15016,CMA,82.0,1.0,BBB_2014B_15016
39,BBB,2014B,15017,CMA,117.0,1.0,BBB_2014B_15017
40,BBB,2014B,15018,CMA,152.0,1.0,BBB_2014B_15018
41,BBB,2014B,15019,CMA,194.0,1.0,BBB_2014B_15019
42,BBB,2014B,15008,TMA,12.0,5.0,BBB_2014B_15008
43,BBB,2014B,15009,TMA,40.0,18.0,BBB_2014B_15009
44,BBB,2014B,15010,TMA,82.0,18.0,BBB_2014B_15010
45,BBB,2014B,15011,TMA,117.0,18.0,BBB_2014B_15011
46,BBB,2014B,15012,TMA,152.0,18.0,BBB_2014B_15012
47,BBB,2014B,15013,TMA,194.0,18.0,BBB_2014B_15013
48,BBB,2014B,15014,Exam,,100.0,BBB_2014B_15014
49,BBB,2014J,15020,TMA,19.0,0.0,BBB_2014J_15020
50,BBB,2014J,15021,TMA,54.0,10.0,BBB_2014J_15021
51,BBB,2014J,15022,TMA,110.0,20.0,BBB_2014J_15022
52,BBB,2014J,15023,TMA,152.0,35.0,BBB_2014J_15023
53,BBB,2014J,15024,TMA,201.0,35.0,BBB_2014J_15024
54,BBB,2014J,15025,Exam,,100.0,BBB_2014J_15025
55,CCC,2014B,24286,CMA,18.0,2.0,CCC_2014B_24286
56,CCC,2014B,24287,CMA,67.0,7.0,CCC_2014B_24287
57,CCC,2014B,24288,CMA,137.0,8.0,CCC_2014B_24288
58,CCC,2014B,24289,CMA,207.0,8.0,CCC_2014B_24289
59,CCC,2014B,24282,TMA,32.0,9.0,CCC_2014B_24282
60,CCC,2014B,24283,TMA,102.0,22.0,CCC_2014B_24283
61,CCC,2014B,24284,TMA,151.0,22.0,CCC_2014B_24284
62,CCC,2014B,24285,TMA,200.0,22.0,CCC_2014B_24285
63,CCC,2014B,24290,Exam,,100.0,CCC_2014B_24290
64,CCC,2014B,40087,Exam,,100.0,CCC_2014B_40087
65,CCC,2014J,24295,CMA,18.0,2.0,CCC_2014J_24295
66,CCC,2014J,24296,CMA,67.0,7.0,CCC_2014J_24296
67,CCC,2014J,24297,CMA,144.0,8.0,CCC_2014J_24297
68,CCC,2014J,24298,CMA,214.0,8.0,CCC_2014J_24298
69,CCC,2014J,24291,TMA,32.0,9.0,CCC_2014J_24291
70,CCC,2014J,24292,TMA,109.0,22.0,CCC_2014J_24292
71,CCC,2014J,24293,TMA,158.0,22.0,CCC_2014J_24293
72,CCC,2014J,24294,TMA,207.0,22.0,CCC_2014J_24294
73,CCC,2014J,24299,Exam,,100.0,CCC_2014J_24299
74,CCC,2014J,40088,Exam,,100.0,CCC_2014J_40088
75,DDD,2013B,25341,CMA,23.0,2.0,DDD_2013B_25341
76,DDD,2013B,25342,CMA,51.0,3.0,DDD_2013B_25342
77,DDD,2013B,25343,CMA,79.0,3.0,DDD_2013B_25343
78,DDD,2013B,25344,CMA,114.0,4.0,DDD_2013B_25344
79,DDD,2013B,25345,CMA,149.0,4.0,DDD_2013B_25345
80,DDD,2013B,25346,CMA,170.0,3.0,DDD_2013B_25346
81,DDD,2013B,25347,CMA,206.0,6.0,DDD_2013B_25347
82,DDD,2013B,25334,TMA,25.0,7.5,DDD_2013B_25334
83,DDD,2013B,25335,TMA,53.0,10.0,DDD_2013B_25335
84,DDD,2013B,25336,TMA,81.0,12.5,DDD_2013B_25336
85,DDD,2013B,25337,TMA,116.0,15.0,DDD_2013B_25337
86,DDD,2013B,25338,TMA,151.0,15.0,DDD_2013B_25338
87,DDD,2013B,25339,TMA,200.0,15.0,DDD_2013B_25339
88,DDD,2013B,25340,Exam,240.0,100.0,DDD_2013B_25340
89,DDD,2013J,25348,TMA,25.0,10.0,DDD_2013J_25348
90,DDD,2013J,25349,TMA,53.0,12.5,DDD_2013J_25349
91,DDD,2013J,25350,TMA,88.0,17.5,DDD_2013J_25350
92,DDD,2013J,25351,TMA,123.0,20.0,DDD_2013J_25351
93,DDD,2013J,25352,TMA,165.0,20.0,DDD_2013J_25352
94,DDD,2013J,25353,TMA,207.0,20.0,DDD_2013J_25353
95,DDD,2013J,25354,Exam,261.0,100.0,DDD_2013J_25354
96,DDD,2014B,25355,TMA,25.0,10.0,DDD_2014B_25355
97,DDD,2014B,25356,TMA,53.0,12.5,DDD_2014B_25356
98,DDD,2014B,25357,TMA,74.0,17.5,DDD_2014B_25357
99,DDD,2014B,25358,TMA,116.0,20.0,DDD_2014B_25358
100,DDD,2014B,25359,TMA,158.0,20.0,DDD_2014B_25359
101,DDD,2014B,25360,TMA,200.0,20.0,DDD_2014B_25360
