CourseSK,course_presentation_id,code_module,code_presentation,semester_name,year,semester_type,module_presentation_length
1,AAA_2013J,AAA,2013J,October 2013,2013,October,268
2,AAA_2014J,AAA,2014J,October 2014,2014,October,269
3,BBB_2013J,BBB,2013J,October 2013,2013,October,268
4,BBB_2014J,BBB,2014J,October 2014,2014,October,262
5,BBB_2013B,BBB,2013B,February 2013,2013,February,240
6,BBB_2014B,BBB,2014B,February 2014,2014,February,234
7,CCC_2014J,CCC,2014J,October 2014,2014,October,269
8,CCC_2014B,CCC,2014B,February 2014,2014,February,241
9,DDD_2013J,DDD,2013J,October 2013,2013,October,261
10,DDD_2014J,DDD,2014J,October 2014,2014,October,262
11,DDD_2013B,DDD,2013B,February 2013,2013,February,240
12,DDD_2014B,DDD,2014B,February 2014,2014,February,241
13,EEE_2013J,EEE,2013J,October 2013,2013,October,268
14,EEE_2014J,EEE,2014J,October 2014,2014,October,269
15,EEE_2014B,EEE,2014B,February 2014,2014,February,241
16,FFF_2013J,FFF,2013J,October 2013,2013,October,268
17,FFF_2014J,FFF,2014J,October 2014,2014,October,269
18,FFF_2013B,FFF,2013B,February 2013,2013,February,240
19,FFF_2014B,FFF,2014B,February 2014,2014,February,241
20,GGG_2013J,GGG,2013J,October 2013,2013,October,261
21,GGG_2014J,GGG,2014J,October 2014,2014,October,269
22,GGG_2014B,GGG,2014B,February 2014,2014,February,241
