StudentSK,id_student,gender,age_band,highest_education,region,imd_band,num_of_prev_attempts,disability
1,11391,M,55<=,HE Qualification,East Anglian Region,90-100%,0,N
2,28400,F,35-55,HE Qualification,Scotland,20-30%,0,N
3,30268,F,35-55,A Level or Equivalent,North Western Region,30-40%,0,Y
4,31604,F,35-55,A Level or Equivalent,South East Region,50-60%,0,N
5,32885,F,0-35,Lower Than A Level,West Midlands Region,50-60%,0,N
6,38053,M,35-55,A Level or Equivalent,Wales,80-90%,0,N
7,45462,M,0-35,HE Qualification,Scotland,30-40%,0,N
8,45642,F,0-35,A Level or Equivalent,North Western Region,90-100%,0,N
9,52130,F,0-35,A Level or Equivalent,East Anglian Region,70-80%,0,N
10,53025,M,55<=,Post Graduate Qualification,North Region,Unknown,0,N
11,57506,M,35-55,Lower Than A Level,South Region,70-80%,0,N
12,58873,F,0-35,A Level or Equivalent,East Anglian Region,20-30%,0,N
13,59185,M,35-55,Lower Than A Level,East Anglian Region,60-70%,0,N
14,62155,F,0-35,HE Qualification,North Western Region,50-60%,0,N
15,63400,M,35-55,Lower Than A Level,Scotland,40-50%,0,N
16,65002,F,0-35,A Level or Equivalent,East Anglian Region,70-80%,0,N
17,70464,F,35-55,A Level or Equivalent,West Midlands Region,60-70%,0,N
18,71361,M,35-55,HE Qualification,Ireland,Unknown,0,N
19,74372,M,35-55,A Level or Equivalent,East Anglian Region,10-20,0,N
20,75091,M,35-55,A Level or Equivalent,South West Region,30-40%,0,N
21,77367,M,0-35,A Level or Equivalent,East Midlands Region,30-40%,0,N
22,91265,M,0-35,HE Qualification,North Western Region,0-10%,0,N
23,94961,M,35-55,Lower Than A Level,South Region,70-80%,0,N
24,98094,M,35-55,Lower Than A Level,Wales,70-80%,0,N
25,100893,M,0-35,A Level or Equivalent,Yorkshire Region,20-30%,0,N
26,101781,M,35-55,Lower Than A Level,South Region,80-90%,0,N
27,102806,M,0-35,A Level or Equivalent,North Western Region,30-40%,0,N
28,102952,M,0-35,HE Qualification,London Region,60-70%,0,N
29,104476,M,35-55,Post Graduate Qualification,Ireland,Unknown,0,N
30,106247,M,35-55,HE Qualification,South Region,80-90%,0,N
31,106577,M,0-35,Lower Than A Level,East Midlands Region,20-30%,0,N
32,110175,M,35-55,HE Qualification,East Anglian Region,80-90%,0,N
33,111717,F,35-55,HE Qualification,East Anglian Region,90-100%,0,N
34,113295,M,35-55,Lower Than A Level,Yorkshire Region,60-70%,0,N
35,114017,F,35-55,Post Graduate Qualification,North Region,Unknown,0,N
36,114999,M,35-55,HE Qualification,Yorkshire Region,60-70%,0,N
37,116541,M,0-35,HE Qualification,Wales,0-10%,0,N
38,116692,M,35-55,A Level or Equivalent,East Anglian Region,70-80%,0,N
39,118983,M,0-35,HE Qualification,East Midlands Region,30-40%,0,N
40,123044,M,35-55,A Level or Equivalent,South Region,40-50%,0,N
41,127582,F,0-35,A Level or Equivalent,East Midlands Region,40-50%,0,N
42,129955,M,0-35,A Level or Equivalent,West Midlands Region,50-60%,0,N
43,132976,F,35-55,Lower Than A Level,East Anglian Region,80-90%,0,N
44,134143,F,35-55,A Level or Equivalent,South East Region,90-100%,0,N
45,135335,F,0-35,Lower Than A Level,East Anglian Region,20-30%,0,N
46,135400,F,35-55,Lower Than A Level,South East Region,90-100%,0,Y
47,137873,M,35-55,A Level or Equivalent,South West Region,40-50%,0,N
48,141355,F,0-35,A Level or Equivalent,East Midlands Region,30-40%,0,N
49,141377,M,0-35,A Level or Equivalent,South West Region,90-100%,0,N
50,142326,F,35-55,A Level or Equivalent,North Region,50-60%,0,N
51,144801,F,35-55,HE Qualification,South Region,80-90%,0,N
52,145130,M,0-35,HE Qualification,South West Region,60-70%,0,N
53,146188,F,0-35,A Level or Equivalent,West Midlands Region,20-30%,0,Y
54,147756,M,0-35,Lower Than A Level,North Region,60-70%,0,N
55,147793,F,0-35,Lower Than A Level,North Region,80-90%,0,N
56,148993,F,35-55,A Level or Equivalent,North Western Region,30-40%,0,Y
57,151358,F,0-35,A Level or Equivalent,London Region,80-90%,0,N
58,155550,M,35-55,A Level or Equivalent,London Region,0-10%,0,N
59,155854,F,35-55,A Level or Equivalent,East Midlands Region,20-30%,0,N
60,155984,F,0-35,Lower Than A Level,East Anglian Region,70-80%,0,N
61,157568,F,0-35,A Level or Equivalent,South West Region,90-100%,0,N
62,159954,M,35-55,A Level or Equivalent,East Midlands Region,40-50%,0,N
63,164259,M,0-35,A Level or Equivalent,Scotland,70-80%,0,N
64,167906,F,35-55,A Level or Equivalent,Yorkshire Region,40-50%,0,N
65,168936,F,35-55,Lower Than A Level,West Midlands Region,10-20,0,N
66,172112,M,35-55,HE Qualification,Ireland,Unknown,0,N
67,172797,F,35-55,A Level or Equivalent,Ireland,Unknown,0,N
68,174782,M,55<=,HE Qualification,East Anglian Region,90-100%,0,N
69,175392,M,35-55,HE Qualification,North Region,Unknown,0,N
70,175932,M,35-55,HE Qualification,North Western Region,70-80%,0,N
71,175991,F,0-35,A Level or Equivalent,North Western Region,80-90%,0,N
72,180753,M,0-35,A Level or Equivalent,South West Region,30-40%,0,N
73,181316,F,35-55,A Level or Equivalent,South West Region,80-90%,0,N
74,183096,F,0-35,A Level or Equivalent,South West Region,60-70%,0,N
75,183947,M,0-35,A Level or Equivalent,London Region,10-20,0,N
76,184271,M,35-55,HE Qualification,South West Region,80-90%,0,N
77,185439,M,0-35,HE Qualification,London Region,10-20,0,N
78,186149,M,35-55,HE Qualification,Scotland,30-40%,0,N
79,187100,M,35-55,A Level or Equivalent,South East Region,50-60%,0,N
80,188278,M,35-55,A Level or Equivalent,Yorkshire Region,70-80%,0,N
81,189879,M,0-35,A Level or Equivalent,Scotland,90-100%,0,N
82,192183,F,0-35,Lower Than A Level,South West Region,90-100%,0,N
83,195262,M,0-35,A Level or Equivalent,London Region,90-100%,0,N
84,200860,M,35-55,Lower Than A Level,London Region,50-60%,0,N
85,202635,F,0-35,A Level or Equivalent,Wales,30-40%,0,N
86,205350,M,35-55,HE Qualification,South West Region,80-90%,0,N
87,205719,M,0-35,A Level or Equivalent,East Anglian Region,40-50%,0,Y
88,227499,F,35-55,A Level or Equivalent,London Region,10-20,0,N
89,227517,M,0-35,HE Qualification,Ireland,Unknown,0,N
90,228082,M,0-35,HE Qualification,London Region,60-70%,0,N
91,228222,M,0-35,Lower Than A Level,East Midlands Region,50-60%,0,N
92,229179,M,0-35,A Level or Equivalent,West Midlands Region,20-30%,0,N
93,229361,M,0-35,A Level or Equivalent,East Midlands Region,50-60%,0,N
94,231554,M,0-35,A Level or Equivalent,London Region,40-50%,0,N
95,235507,M,0-35,A Level or Equivalent,Yorkshire Region,90-100%,0,N
96,236284,M,0-35,Post Graduate Qualification,Scotland,90-100%,0,N
97,238007,M,55<=,HE Qualification,South Region,90-100%,0,N
98,240712,M,0-35,HE Qualification,London Region,80-90%,0,N
99,240884,M,0-35,A Level or Equivalent,South Region,90-100%,0,N
100,241649,M,35-55,HE Qualification,East Anglian Region,90-100%,0,N
101,241729,F,35-55,HE Qualification,East Midlands Region,60-70%,0,N
102,242793,M,35-55,HE Qualification,London Region,20-30%,0,N
103,246834,M,35-55,A Level or Equivalent,South West Region,90-100%,0,N
104,248270,M,0-35,Lower Than A Level,North Western Region,20-30%,0,N
105,255548,M,35-55,Lower Than A Level,Wales,20-30%,0,N
106,256815,M,0-35,HE Qualification,North Western Region,10-20,0,N
107,258392,F,0-35,Lower Than A Level,West Midlands Region,30-40%,0,N
108,258894,F,35-55,Lower Than A Level,East Anglian Region,70-80%,0,N
109,260355,F,35-55,A Level or Equivalent,London Region,80-90%,0,N
110,262011,M,35-55,A Level or Equivalent,East Midlands Region,20-30%,0,N
111,262934,F,35-55,A Level or Equivalent,North Western Region,30-40%,0,N
112,268073,M,35-55,A Level or Equivalent,East Anglian Region,10-20,0,N
113,268733,M,0-35,A Level or Equivalent,East Anglian Region,30-40%,0,N
114,271251,M,35-55,A Level or Equivalent,Scotland,80-90%,0,N
115,277880,F,0-35,A Level or Equivalent,South East Region,60-70%,0,N
116,279572,M,0-35,Lower Than A Level,London Region,40-50%,0,N
117,281022,F,0-35,A Level or Equivalent,Scotland,30-40%,0,N
118,281250,M,35-55,Lower Than A Level,Wales,70-80%,0,N
119,281589,M,0-35,HE Qualification,North Western Region,30-40%,0,N
120,282821,M,35-55,A Level or Equivalent,South West Region,30-40%,0,N
121,286488,M,35-55,A Level or Equivalent,South East Region,90-100%,0,N
122,287548,M,0-35,A Level or Equivalent,East Anglian Region,90-100%,0,N
123,290201,M,0-35,A Level or Equivalent,Wales,20-30%,0,N
124,290757,M,0-35,A Level or Equivalent,North Western Region,30-40%,0,N
125,291334,M,35-55,A Level or Equivalent,South East Region,90-100%,0,N
126,292923,F,35-55,A Level or Equivalent,South East Region,90-100%,0,N
127,293699,M,0-35,A Level or Equivalent,East Midlands Region,70-80%,0,N
128,294570,M,55<=,HE Qualification,South East Region,90-100%,0,N
129,294594,M,0-35,A Level or Equivalent,South East Region,90-100%,0,N
130,295741,M,35-55,A Level or Equivalent,South East Region,40-50%,0,N
131,296332,M,55<=,Post Graduate Qualification,South Region,90-100%,0,N
132,298696,F,0-35,HE Qualification,South East Region,80-90%,0,N
133,300398,M,35-55,A Level or Equivalent,West Midlands Region,30-40%,0,N
134,302302,F,0-35,A Level or Equivalent,East Anglian Region,40-50%,0,N
135,305152,M,0-35,A Level or Equivalent,North Western Region,70-80%,0,N
136,305386,M,0-35,A Level or Equivalent,West Midlands Region,70-80%,0,Y
137,305539,F,0-35,Lower Than A Level,Wales,80-90%,0,N
138,306107,M,35-55,A Level or Equivalent,West Midlands Region,50-60%,0,N
139,306466,M,35-55,A Level or Equivalent,East Anglian Region,90-100%,0,N
140,306897,F,0-35,A Level or Equivalent,London Region,10-20,0,N
141,307061,F,0-35,HE Qualification,East Midlands Region,10-20,0,N
142,307866,M,0-35,A Level or Equivalent,West Midlands Region,70-80%,0,N
143,311917,M,55<=,A Level or Equivalent,South West Region,60-70%,0,N
144,312537,M,55<=,Post Graduate Qualification,South Region,90-100%,0,N
145,312782,M,0-35,A Level or Equivalent,South Region,90-100%,0,N
146,318933,F,0-35,HE Qualification,East Anglian Region,80-90%,0,N
147,319047,F,0-35,A Level or Equivalent,East Midlands Region,50-60%,0,N
148,321942,M,55<=,HE Qualification,South Region,90-100%,0,N
149,324002,M,35-55,HE Qualification,East Anglian Region,40-50%,0,N
150,324084,F,35-55,A Level or Equivalent,South West Region,10-20,0,N
151,324282,M,0-35,A Level or Equivalent,South East Region,90-100%,0,N
152,331358,F,35-55,HE Qualification,South Region,90-100%,0,N
153,332789,F,35-55,A Level or Equivalent,East Anglian Region,60-70%,0,N
154,333059,M,0-35,A Level or Equivalent,Scotland,20-30%,0,N
155,333323,M,0-35,HE Qualification,Scotland,80-90%,0,N
156,334259,F,0-35,A Level or Equivalent,London Region,50-60%,0,N
157,334333,F,0-35,A Level or Equivalent,South West Region,0-10%,0,Y
158,335764,F,0-35,A Level or Equivalent,South East Region,20-30%,0,N
159,336207,M,0-35,A Level or Equivalent,East Anglian Region,90-100%,0,N
160,339972,M,0-35,A Level or Equivalent,North Region,80-90%,0,N
161,341872,M,0-35,Lower Than A Level,East Anglian Region,40-50%,0,N
162,342007,F,0-35,HE Qualification,West Midlands Region,70-80%,0,N
163,342514,M,55<=,Lower Than A Level,Scotland,50-60%,0,N
164,342972,M,0-35,HE Qualification,Yorkshire Region,0-10%,0,N
165,343446,M,35-55,HE Qualification,Ireland,70-80%,0,N
166,344282,M,0-35,A Level or Equivalent,Yorkshire Region,10-20,0,N
167,345068,M,0-35,A Level or Equivalent,East Anglian Region,60-70%,0,Y
168,345357,M,0-35,A Level or Equivalent,Yorkshire Region,30-40%,0,N
169,346025,M,0-35,A Level or Equivalent,East Anglian Region,50-60%,0,N
170,346843,F,35-55,HE Qualification,Scotland,50-60%,0,N
171,350188,M,35-55,HE Qualification,North Western Region,80-90%,0,N
172,354858,M,35-55,HE Qualification,South Region,90-100%,0,N
173,357668,M,0-35,A Level or Equivalent,Yorkshire Region,10-20,0,N
174,364177,M,35-55,Lower Than A Level,East Anglian Region,70-80%,0,N
175,365244,F,0-35,A Level or Equivalent,London Region,0-10%,0,N
176,365642,M,35-55,Lower Than A Level,East Anglian Region,10-20,0,N
177,366483,M,0-35,HE Qualification,South West Region,40-50%,0,N
178,368194,F,0-35,A Level or Equivalent,South West Region,50-60%,0,Y
179,368824,M,35-55,HE Qualification,Wales,50-60%,0,N
180,368963,M,0-35,Lower Than A Level,Yorkshire Region,0-10%,0,N
181,376439,M,0-35,HE Qualification,North Region,Unknown,0,N
182,376581,F,35-55,A Level or Equivalent,South Region,80-90%,0,N
183,380953,M,0-35,A Level or Equivalent,East Midlands Region,80-90%,0,N
184,383254,M,0-35,A Level or Equivalent,Yorkshire Region,90-100%,0,N
185,386924,M,0-35,Lower Than A Level,Ireland,Unknown,0,N
