ResourceSK,id_site,code_module,code_presentation,activity_type,week_from,week_to,resource_full_id,activity_category
1,546943,AAA,2013J,resource,,,AAA_2013J_546943,Content
2,546712,AAA,2013J,oucontent,,,AAA_2013J_546712,Other
3,546998,AAA,2013J,resource,,,AAA_2013J_546998,Content
4,546888,AAA,2013J,url,,,AAA_2013J_546888,Content
5,547035,AAA,2013J,resource,,,AAA_2013J_547035,Content
6,546614,AAA,2013J,homepage,,,AAA_2013J_546614,Content
7,546897,AAA,2013J,url,,,AAA_2013J_546897,Content
8,546678,AAA,2013J,oucontent,,,AAA_2013J_546678,Other
9,546933,AAA,2013J,resource,,,AAA_2013J_546933,Content
10,546708,AAA,2013J,oucontent,,,AAA_2013J_546708,Other
11,546995,AAA,2013J,resource,,,AAA_2013J_546995,Content
12,546884,AAA,2013J,url,,,AAA_2013J_546884,Content
13,547031,AAA,2013J,resource,,,AAA_2013J_547031,Content
14,546891,AAA,2013J,url,,,AAA_2013J_546891,Content
15,546675,AAA,2013J,oucontent,,,AAA_2013J_546675,Other
16,546927,AAA,2013J,resource,,,AAA_2013J_546927,Content
17,546705,AAA,2013J,oucontent,,,AAA_2013J_546705,Other
18,546991,AAA,2013J,resource,,,AAA_2013J_546991,Content
19,546876,AAA,2013J,subpage,,,AAA_2013J_546876,Content
20,547027,AAA,2013J,resource,,,AAA_2013J_547027,Content
21,546671,AAA,2013J,oucontent,,,AAA_2013J_546671,Other
22,546923,AAA,2013J,resource,,,AAA_2013J_546923,Content
23,546702,AAA,2013J,oucontent,,,AAA_2013J_546702,Other
24,546988,AAA,2013J,resource,,,AAA_2013J_546988,Content
25,546872,AAA,2013J,subpage,,,AAA_2013J_546872,Content
26,547024,AAA,2013J,resource,,,AAA_2013J_547024,Content
27,546668,AAA,2013J,oucontent,,,AAA_2013J_546668,Other
28,546920,AAA,2013J,resource,,,AAA_2013J_546920,Content
29,546699,AAA,2013J,oucontent,,,AAA_2013J_546699,Other
30,546985,AAA,2013J,resource,,,AAA_2013J_546985,Content
31,546739,AAA,2013J,oucontent,,,AAA_2013J_546739,Other
32,547021,AAA,2013J,resource,,,AAA_2013J_547021,Content
33,546665,AAA,2013J,oucontent,,,AAA_2013J_546665,Other
34,546917,AAA,2013J,resource,,,AAA_2013J_546917,Content
35,546695,AAA,2013J,oucontent,,,AAA_2013J_546695,Other
36,546982,AAA,2013J,resource,,,AAA_2013J_546982,Content
37,546736,AAA,2013J,oucontent,,,AAA_2013J_546736,Other
38,547018,AAA,2013J,resource,,,AAA_2013J_547018,Content
39,546661,AAA,2013J,glossary,,,AAA_2013J_546661,Other
40,546692,AAA,2013J,oucontent,,,AAA_2013J_546692,Other
41,546972,AAA,2013J,resource,,,AAA_2013J_546972,Content
42,546733,AAA,2013J,oucontent,,,AAA_2013J_546733,Other
43,547014,AAA,2013J,resource,,,AAA_2013J_547014,Content
44,546658,AAA,2013J,forumng,,,AAA_2013J_546658,Discussion
45,546914,AAA,2013J,resource,,,AAA_2013J_546914,Content
46,546689,AAA,2013J,oucontent,,,AAA_2013J_546689,Other
47,546968,AAA,2013J,resource,,,AAA_2013J_546968,Content
48,546728,AAA,2013J,oucontent,,,AAA_2013J_546728,Other
49,547011,AAA,2013J,resource,,,AAA_2013J_547011,Content
50,547066,AAA,2013J,oucollaborate,,,AAA_2013J_547066,Other
51,546655,AAA,2013J,forumng,,,AAA_2013J_546655,Discussion
52,546910,AAA,2013J,resource,,,AAA_2013J_546910,Content
53,546686,AAA,2013J,oucontent,,,AAA_2013J_546686,Other
54,546961,AAA,2013J,resource,,,AAA_2013J_546961,Content
55,546723,AAA,2013J,oucontent,,,AAA_2013J_546723,Other
56,547007,AAA,2013J,resource,,,AAA_2013J_547007,Content
57,547048,AAA,2013J,dataplus,,,AAA_2013J_547048,Other
58,546652,AAA,2013J,forumng,,,AAA_2013J_546652,Discussion
59,546906,AAA,2013J,resource,,,AAA_2013J_546906,Content
60,546954,AAA,2013J,resource,,,AAA_2013J_546954,Content
61,546717,AAA,2013J,oucontent,,,AAA_2013J_546717,Other
62,547004,AAA,2013J,resource,,,AAA_2013J_547004,Content
63,547042,AAA,2013J,resource,,,AAA_2013J_547042,Content
64,546649,AAA,2013J,forumng,,,AAA_2013J_546649,Discussion
65,546903,AAA,2013J,url,,,AAA_2013J_546903,Content
66,546683,AAA,2013J,oucontent,,,AAA_2013J_546683,Other
67,546948,AAA,2013J,resource,,,AAA_2013J_546948,Content
68,546714,AAA,2013J,oucontent,,,AAA_2013J_546714,Other
69,547001,AAA,2013J,resource,,,AAA_2013J_547001,Content
70,547037,AAA,2013J,resource,,,AAA_2013J_547037,Content
71,546645,AAA,2013J,forumng,,,AAA_2013J_546645,Discussion
72,546899,AAA,2013J,url,,,AAA_2013J_546899,Content
73,546680,AAA,2013J,oucontent,,,AAA_2013J_546680,Other
74,546942,AAA,2013J,resource,,,AAA_2013J_546942,Content
75,546711,AAA,2013J,oucontent,,,AAA_2013J_546711,Other
76,546997,AAA,2013J,resource,,,AAA_2013J_546997,Content
77,546887,AAA,2013J,url,,,AAA_2013J_546887,Content
78,547034,AAA,2013J,resource,,,AAA_2013J_547034,Content
79,546896,AAA,2013J,url,,,AAA_2013J_546896,Content
80,546677,AAA,2013J,oucontent,,,AAA_2013J_546677,Other
81,546930,AAA,2013J,resource,,,AAA_2013J_546930,Content
82,546707,AAA,2013J,oucontent,,,AAA_2013J_546707,Other
83,546994,AAA,2013J,resource,,,AAA_2013J_546994,Content
84,546883,AAA,2013J,url,,,AAA_2013J_546883,Content
85,547030,AAA,2013J,resource,,,AAA_2013J_547030,Content
86,546890,AAA,2013J,url,,,AAA_2013J_546890,Content
87,546674,AAA,2013J,oucontent,,,AAA_2013J_546674,Other
88,546925,AAA,2013J,resource,,,AAA_2013J_546925,Content
89,546704,AAA,2013J,oucontent,,,AAA_2013J_546704,Other
90,546990,AAA,2013J,resource,,,AAA_2013J_546990,Content
91,546874,AAA,2013J,subpage,,,AAA_2013J_546874,Content
92,547026,AAA,2013J,resource,,,AAA_2013J_547026,Content
