UserSK,CourseSK,DeviceSK,EnrollmentDateSK,CompletionDateSK,TimeSpentOnCourse,NumberOfVideosWatched,NumberOfQuizzesTaken,QuizScores,CompletionRate,EngagementScore,CourseCompletion
1,1,1,440,,29.97971934613741,17,3,50.365655948359226,20.860772712321182,0.4809005106821323,0
2,2,1,61,,27.802639509751515,1,5,62.61596979322466,65.63241524373352,0.2735700112246803,0
3,2,1,534,541.0,86.82048469711872,14,2,78.4589624023972,63.81200658802416,0.5889751158170188,1
4,3,2,510,531.0,35.03842663461649,17,10,59.19885273381349,95.43316189339762,0.7312663584337399,1
5,4,2,432,,92.4906469645332,16,0,98.42828500171674,18.102477525410755,0.5747361626554999,0
6,1,2,495,559.0,79.46612884332329,12,7,70.2333289468058,76.48402324939777,0.69754166330071,1
7,1,1,355,,78.9087242374251,10,2,86.83653261494925,22.588896140963342,0.4956664750687383,0
8,5,1,33,,12.06823675215978,16,3,61.55364646476677,27.410990874379625,0.4039182456581336,0
9,5,2,533,558.0,81.93570917985394,8,4,90.26456414855328,33.30843667864675,0.5391924713306716,1
10,4,1,185,,83.39402571104472,15,10,63.956352955520536,33.26129953014595,0.8607673349775773,0
11,3,2,688,,55.44885317072934,3,7,57.50783648915665,80.63469702926727,0.4666658947321484,0
12,2,2,376,,27.265330641921476,17,9,70.99850119498619,0.1283363229380274,0.6717579940414877,0
13,2,1,347,,12.262483785584529,13,1,68.54184823678045,48.91869023749844,0.28790660913165833,0
14,4,2,504,565.0,33.79016764768902,1,5,97.70588953857865,77.31223562370481,0.2937325990721359,1
15,3,1,528,575.0,40.787972087640696,7,3,72.02018992210475,87.47619949726861,0.3506307226504219,1
16,3,2,107,123.0,37.74623794822219,10,8,93.30974857144088,95.8903217174662,0.5570526428424469,1
17,4,1,374,438.0,36.36982127760847,8,10,71.74027659522311,43.54888955385587,0.5857504880201198,1
18,1,1,493,,26.67976913466473,15,8,64.15505767450269,21.184777691520363,0.6031199894004332,0
19,5,2,404,,11.17804761184954,20,5,78.02583213062266,55.69746684173562,0.5342529284954739,0
20,1,2,36,62.0,56.70844279087808,6,8,81.38063449593083,49.176911118789945,0.5542402258671948,1
21,3,1,116,202.0,90.89545275723644,11,9,82.80335560655193,76.06002032466282,0.786028539596769,1
22,3,1,544,602.0,19.220062447323222,6,4,70.24297667055698,69.88922262914392,0.2946686918554256,1
23,2,1,136,,24.988750032357324,6,9,64.48616706067624,7.433288004684602,0.48075934925828717,0
24,5,2,501,,33.48224410834035,3,9,59.8758706754866,78.58320720339476,0.45936085448184216,0
25,3,2,20,,57.668364870808745,0,5,92.00831477467004,35.024928003816655,0.35747419722141505,0
26,4,2,215,293.0,33.8079156819551,12,1,53.6597605659185,89.9525527538609,0.3437927810107771,1
27,4,2,27,,48.54343463363164,3,7,50.46763175521277,50.99683171875333,0.4434123743026575,0
28,3,2,21,41.0,56.94215602063267,7,6,80.37425848450256,61.12697845853356,0.5050278223685766,1
29,4,2,474,,40.81348180255279,15,0,55.02883721210786,56.94624076543875,0.38405029151514314,0
30,4,2,619,,12.805246220606858,6,9,51.85830564221426,86.30231756665131,0.43973224086980833,0
31,2,1,57,100.0,64.89874148516614,13,6,97.3401987109964,68.02150504513817,0.6318205748950981,1
32,4,2,718,,44.70916758562794,5,8,76.9412180222065,17.541934124071844,0.4971669112650401,0
33,2,2,397,,44.463895154064346,16,10,51.70151786760175,53.400707703532966,0.7463393899541853,0
34,5,1,661,720.0,79.92671792725722,18,3,82.8515882752971,69.03969779917355,0.6657601652480231,1
35,4,1,39,,66.23533659953954,3,4,54.642636585229226,59.146139308126656,0.40298963336959065,0
36,1,2,666,,27.30889124247948,17,3,90.02120477161247,7.434988155754207,0.47190668133805747,0
37,1,2,426,440.0,30.33845961117749,11,10,85.91852407206679,94.5492986171422,0.6154400437913546,1
38,2,2,87,,55.99522788037752,19,7,89.28612560657936,12.969146318848887,0.7351711072054269,0
39,2,2,116,134.0,26.021524206096856,7,8,81.67770398732854,33.32047026777094,0.46757072835431673,1
40,2,2,693,732.0,46.16776436128021,20,5,57.51320694226913,67.48314094068168,0.6520783852558324,1
41,2,2,313,,14.964920149737411,9,6,96.20605086239355,35.90245247288345,0.3970055437935535,0
42,3,1,454,466.0,23.371860080863165,12,1,74.71747173615051,60.72715873028089,0.30865008389262566,1
43,3,1,256,,35.09837657550164,13,6,53.80004944829931,42.34052102368495,0.5314699023746151,0
44,5,1,595,663.0,74.53035551256862,2,7,79.58932418252478,79.92665079525295,0.5142549538547679,1
45,4,2,229,,90.28199332772544,19,3,85.757982927004,47.14835242341192,0.7172974239483957,0
46,5,1,693,,96.42768519524566,7,0,70.18434249993251,15.54444396051926,0.4379946172264586,0
47,3,1,473,,11.445850993718908,6,8,82.99278190747742,55.47063348875232,0.40182157124219803,0
48,1,1,81,169.0,21.12566598815966,7,10,67.06323236445888,5.094871160295811,0.517750263640694,1
49,5,1,275,318.0,94.96213323193646,13,8,96.74738134978736,80.8161152568603,0.7997229721465765,1
50,3,1,697,,87.24751758868146,0,9,60.12098346303216,5.944659811055053,0.5904119529636642,0
51,4,2,330,,20.012157362341405,1,2,66.3330807982308,43.60312452908891,0.1473371001494543,0
52,1,1,49,,76.08711898360353,16,10,69.87188422800713,5.123885111849413,0.8528284141047205,0
53,4,1,155,,89.88527688054053,2,3,89.94464524289667,78.47655174140448,0.4326295920133519,0
54,3,2,359,403.0,36.58505759204168,13,7,78.47425985306087,85.52357567109635,0.569809198115785,1
55,1,2,128,,68.0311152231597,13,0,96.94199526194949,5.1013744565620245,0.4423706272947925,0
56,2,1,89,,3.34791967027327,8,4,96.54886729714607,27.991879727057057,0.27455351294573643,0
57,2,2,115,,9.739541103872536,15,1,70.99381544683521,61.79129346746699,0.3127439404089574,0
