StudentSK,CourseSK,studied_credits,num_of_prev_attempts,date_registration,date_unregistration,final_result,final_result_code,is_completed,is_distinction,is_withdrawn
1,1,240,0,-159.0,,Pass,3,1,0,0
2,1,60,0,-53.0,,Pass,3,1,0,0
3,1,60,0,-92.0,12.0,Withdrawn,1,0,0,1
4,1,60,0,-52.0,,Pass,3,1,0,0
5,1,60,0,-176.0,,Pass,3,1,0,0
6,1,60,0,-110.0,,Pass,3,1,0,0
7,1,60,0,-67.0,,Pass,3,1,0,0
8,1,120,0,-29.0,,Pass,3,1,0,0
9,1,90,0,-33.0,,Pass,3,1,0,0
10,1,60,0,-179.0,,Pass,3,1,0,0
11,1,60,0,-103.0,,Pass,3,1,0,0
12,1,60,0,-47.0,,Pass,3,1,0,0
13,1,60,0,-59.0,,Pass,3,1,0,0
14,1,60,0,-68.0,,Pass,3,1,0,0
15,1,60,0,-67.0,,Pass,3,1,0,0
16,1,60,0,-180.0,96.0,Withdrawn,1,0,0,1
17,1,60,0,-95.0,,Pass,3,1,0,0
18,1,60,0,-130.0,,Pass,3,1,0,0
19,1,150,0,-50.0,,Fail,2,0,0,0
20,1,60,0,-107.0,,Pass,3,1,0,0
21,1,60,0,-27.0,,Pass,3,1,0,0
22,1,60,0,-31.0,,Pass,3,1,0,0
23,1,60,0,-170.0,72.0,Withdrawn,1,0,0,1
24,1,60,0,-107.0,,Pass,3,1,0,0
25,1,60,0,-62.0,,Pass,3,1,0,0
26,1,60,0,-103.0,,Pass,3,1,0,0
27,1,60,0,-107.0,,Pass,3,1,0,0
28,1,60,0,-100.0,,Pass,3,1,0,0
29,1,60,0,-109.0,,Pass,3,1,0,0
30,1,60,0,5.0,175.0,Withdrawn,1,0,0,1
31,1,60,0,-107.0,,Pass,3,1,0,0
32,1,60,0,-110.0,,Pass,3,1,0,0
33,1,60,0,-43.0,,Pass,3,1,0,0
34,1,60,0,-26.0,,Pass,3,1,0,0
35,1,60,0,-29.0,,Pass,3,1,0,0
36,1,60,0,-68.0,,Pass,3,1,0,0
37,1,60,0,-68.0,,Pass,3,1,0,0
38,1,60,0,-32.0,,Pass,3,1,0,0
39,1,120,0,-99.0,,Pass,3,1,0,0
40,1,60,0,-82.0,,Pass,3,1,0,0
41,1,180,0,-31.0,,Pass,3,1,0,0
42,1,60,0,-197.0,135.0,Withdrawn,1,0,0,1
43,1,120,0,-75.0,,Pass,3,1,0,0
44,1,60,0,-96.0,,Distinction,4,1,1,0
45,1,180,0,-29.0,30.0,Withdrawn,1,0,0,1
46,1,60,0,-32.0,144.0,Withdrawn,1,0,0,1
47,1,60,0,-195.0,,Pass,3,1,0,0
48,1,240,0,-61.0,,Pass,3,1,0,0
49,1,345,0,-110.0,129.0,Withdrawn,1,0,0,1
50,1,60,0,-37.0,,Pass,3,1,0,0
51,1,60,0,-67.0,,Pass,3,1,0,0
52,1,120,0,-36.0,,Pass,3,1,0,0
53,1,60,0,-132.0,,Fail,2,0,0,0
54,1,120,0,-92.0,,Fail,2,0,0,0
55,1,90,0,-138.0,58.0,Withdrawn,1,0,0,1
